                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 2.1848,                 1.0375,                 1.7131,                0.68685,                0.93362,                0.77988,                0.52855,                 2.3425,                 1.7212,                 1.7943,             0.00099036,             0.00099036,             0.00099036
                    125,                 2.3776,                  1.113,                 1.6974,                0.68685,                0.93362,                0.77988,                0.52855,                 2.3425,                 1.7212,                 1.7943,             0.00098486,             0.00098486,             0.00098486
                    126,                 2.2235,                 1.0491,                 1.7088,                0.68322,                0.92384,                0.76653,                0.52051,                 2.3488,                 1.6862,                 1.7902,             0.00097936,             0.00097936,             0.00097936
                    127,                 2.2575,                 1.0874,                 1.7019,                 0.6759,                0.94427,                0.79446,                0.54334,                 2.3376,                 1.6686,                 1.7841,             0.00097386,             0.00097386,             0.00097386
                    128,                  2.234,                 1.0275,                 1.7288,                 0.6759,                0.94427,                0.79446,                0.54334,                 2.3376,                 1.6686,                 1.7841,             0.00096836,             0.00096836,             0.00096836
                    129,                 2.1939,                 1.0308,                 1.7104,                0.71415,                0.93694,                0.81397,                0.56404,                 2.3136,                 1.6815,                 1.7829,             0.00096286,             0.00096286,             0.00096286
                    130,                 2.2416,                 1.0582,                 1.6838,                0.71415,                0.93694,                0.81397,                0.56404,                 2.3136,                 1.6815,                 1.7829,             0.00095736,             0.00095736,             0.00095736
                    131,                  2.299,                 1.1363,                 1.6931,                0.70209,                0.94864,                0.80187,                0.55314,                 2.2564,                 1.6975,                 1.7784,             0.00095186,             0.00095186,             0.00095186
                    132,                 2.2921,                 1.0766,                 1.7339,                0.69979,                0.88577,                0.77371,                0.52713,                 2.2994,                 1.7727,                 1.7902,             0.00094636,             0.00094636,             0.00094636
                    133,                 2.1383,                  1.009,                 1.6926,                0.69979,                0.88577,                0.77371,                0.52713,                 2.2994,                 1.7727,                 1.7902,             0.00094085,             0.00094085,             0.00094085
                    134,                 2.1034,                 1.0082,                 1.7087,                0.66647,                 0.9503,                0.76778,                0.53892,                 2.2469,                 1.8221,                 1.7741,             0.00093535,             0.00093535,             0.00093535
                    135,                 2.2194,                 1.0525,                 1.6781,                0.69839,                0.90463,                0.76418,                0.53711,                  2.217,                  1.783,                 1.7716,             0.00092985,             0.00092985,             0.00092985
                    136,                 2.1987,                 1.0162,                 1.6933,                0.69839,                0.90463,                0.76418,                0.53711,                  2.217,                  1.783,                 1.7716,             0.00092435,             0.00092435,             0.00092435
                    137,                 2.1908,                 1.0214,                 1.6907,                0.68444,                0.90716,                0.75675,                  0.517,                 2.2858,                 1.7942,                 1.7848,             0.00091885,             0.00091885,             0.00091885
                    138,                 2.2607,                0.99714,                 1.7074,                0.68444,                0.90716,                0.75675,                  0.517,                 2.2858,                 1.7942,                 1.7848,             0.00091335,             0.00091335,             0.00091335
                    139,                  2.103,                0.95138,                 1.6953,                0.70931,                0.88442,                0.74573,                0.52384,                 2.1983,                 1.8269,                 1.7694,             0.00090785,             0.00090785,             0.00090785
                    140,                 2.1269,                0.99479,                 1.7269,                0.71015,                0.89463,                 0.7386,                0.52003,                 2.2155,                 1.8481,                  1.765,             0.00090235,             0.00090235,             0.00090235
                    141,                 2.1208,                0.97177,                 1.6906,                0.71015,                0.89463,                 0.7386,                0.52003,                 2.2155,                 1.8481,                  1.765,             0.00089685,             0.00089685,             0.00089685
                    142,                 2.2019,                 1.0412,                 1.7199,                0.68817,                0.90193,                 0.7417,                0.51852,                 2.2535,                 1.7966,                 1.7735,             0.00089134,             0.00089134,             0.00089134
                    143,                  2.104,                 1.0197,                 1.6883,                 0.6934,                0.94157,                0.74953,                0.52121,                 2.2643,                 1.7758,                 1.7738,             0.00088584,             0.00088584,             0.00088584
                    144,                 2.1583,                0.98413,                 1.6903,                 0.6934,                0.94157,                0.74953,                0.52121,                 2.2643,                 1.7758,                 1.7738,             0.00088034,             0.00088034,             0.00088034
                    145,                 2.0019,                0.94334,                 1.6736,                0.69098,                0.92873,                0.74224,                0.52378,                 2.2152,                 1.8452,                 1.7676,             0.00087484,             0.00087484,             0.00087484
